date,visitors,forecast,forecast_lower,forecast_upper
2019-05-01,320696.0,295472.3789623863,220949.09539728586,371845.5484553084
2019-06-01,208904.0,228666.32325813966,149804.1513682805,309543.99743842275
2019-07-01,333524.0,361402.7049655638,279380.11285793054,441693.72081206035
2019-08-01,493440.0,493431.07928454876,416888.0314759819,572958.6163210464
2019-09-01,256817.0,274020.3412467194,193174.48129559873,350194.4157172879
2019-10-01,305435.0,301916.3564965568,218610.31967264097,381341.8520212483
2019-11-01,206130.0,226343.41063228948,149932.92696856373,308651.474652007
2019-12-01,276826.0,283224.4461677761,203221.915443903,361337.1263006919
2020-01-01,309829.0,308102.02117148746,225104.5066979905,390270.62148068985
2020-02-01,79101.0,56723.483407386695,-29571.492349865064,138349.16290682458
2020-03-01,0.0,-7748.741424698208,-92913.1683158272,68422.22559185926
2020-04-01,284.0,-8003.335612980241,-91324.71766772038,69356.61885697297
2020-05-01,49832.0,78129.79655030242,-2785.201009838199,158430.21890449635
2020-06-01,890.0,33313.71044779004,-46588.79746390249,114865.32847399703
2020-07-01,42515.0,114683.79580059767,34884.65385256198,197681.45820841313
2020-08-01,96310.0,201122.510109135,122597.28111227528,278999.21080380323
2020-09-01,13084.0,18642.983147142862,-68193.80165846342,97782.2144068057
2020-10-01,89842.0,75809.63951033569,-8614.570450197623,154659.49890260558
2020-11-01,79993.0,40376.677764564636,-38303.320686769235,118993.42326447007
2020-12-01,11941.0,102390.74566144324,21155.386960550983,176354.84310273555
2021-01-01,36213.0,132088.56618067806,53156.407115252456,215270.1357305703
2021-02-01,85661.0,108812.42668857588,30140.493693282246,194791.1500779883
2021-03-01,78548.0,-8688.811034596816,-91163.15799126249,71561.53333996095
2021-04-01,72299.0,-4986.111386718927,-81121.7186792731,78348.34614135849
2021-05-01,139181.0,88111.4696024356,8062.925516274425,165437.6565773588
2021-06-01,119880.0,36336.177040480776,-43777.67841490802,118951.88468997576
2021-07-01,139036.0,135361.65673281468,52362.91766165706,220912.5498455419
2021-08-01,169896.0,237232.59283494044,156566.2920674764,319137.31386127975
2021-09-01,104992.0,42317.28288397135,-39145.683691442966,126065.10395408579
