Price_KRW,Visitors_Flat,Revenue_Flat,Revenue_Dual_B1,Revenue_Dual_B2,Visitor_Loss_Pct
6695.390781563126,4765661.94800574,31907969074.7238,50827097745.23299,25590441349.12223,-5.324112598661679
6793.587174348698,4749286.702948057,32264693232.452736,50845747973.4153,25609091577.304546,-4.962209431147298
6891.783567134269,4732911.457890375,32618201410.19038,50864230063.95017,25627573667.83942,-4.600306263632917
6989.97995991984,4716536.212832691,32968493607.93673,50882544016.8376,25645887620.726845,-4.238403096118517
7088.176352705411,4700160.967775009,33315569825.691795,50900689832.077576,25664033435.966827,-3.8764999286041357
7186.372745490982,4683785.722717325,33659430063.45557,50918667509.67011,25682011113.55936,-3.514596761089735
7284.5691382765535,4667410.477659643,34000074321.22806,50936477049.615204,25699820653.504456,-3.1526935935753535
7382.765531062125,4651035.232601959,34337502599.00926,50954118451.91285,25717462055.8021,-2.7907904260609526
7480.961923847696,4634659.987544277,34671714896.79917,50971591716.56306,25734935320.4523,-2.428887258546572
7579.158316633267,4618284.742486593,35002711214.597786,50988896843.56581,25752240447.45506,-2.066984091032171
7677.354709418838,4601909.497428911,35330491552.40513,51006033832.92112,25769377436.81037,-1.7050809235177904
7775.551102204409,4585534.252371227,35655055910.22117,51023002684.62899,25786346288.518238,-1.343177756003389
7873.747494989981,4569159.007313545,35976404288.04593,51039803398.689415,25803147002.57866,-0.9812745884890086
7971.943887775552,4552783.762255862,36294536685.8794,51056435975.10239,25819779578.99164,-0.6193714209746279
8070.140280561122,4536408.517198179,36609453103.72158,51072900413.86792,25836244017.75717,-0.25746825346022684
8168.336673346694,4520033.2721404955,36921153541.572464,51089196714.98601,25852540318.87526,0.10443491405417436
8266.533066132266,4503658.027082813,37229637999.432076,51105324878.45665,25868668482.3459,0.46633808156855494
8364.729458917836,4487282.78202513,37534906477.30039,51121284904.279854,25884628508.169098,0.8282412490829356
8462.925851703407,4470907.536967447,37836958975.177414,51137076792.455605,25900420396.344852,1.1901444165973367
8561.122244488979,4454532.291909764,38135795493.06315,51152700542.98391,25916044146.87316,1.552047584111738
8659.31863727455,4438157.046852081,38431416030.9576,51168156155.86478,25931499759.754025,1.9139507516261183
8757.51503006012,4421781.801794399,38723820588.86076,51183443631.0982,25946787234.987442,2.275853919140499
8855.711422845692,4405406.556736715,39013009166.77264,51198562968.684166,25961906572.573418,2.6377570866549003
8953.907815631264,4389031.311679033,39298981764.69323,51213514168.622696,25976857772.511944,2.9996602541692807
9052.104208416833,4372656.06662135,39581738382.62252,51228297230.91378,25991640834.80303,3.3615634216836616
9150.300601202405,4356280.821563667,39861279020.560524,51242912155.55742,26006255759.446667,3.723466589198063
