title,museum_id,stars,id,lang,sentiment,sentiment_label,dominant_topic
Vatican Museums,1002,5,310,en,0.0,neutral,4
Vatican Museums,1002,5,311,en,0.3333333333333333,positive,4
Vatican Museums,1002,5,312,en,1.0,positive,4
Vatican Museums,1002,5,313,en,0.6,positive,4
Vatican Museums,1002,5,314,en,0.3333333333333333,positive,4
Vatican Museums,1002,5,315,en,1.0,positive,4
Vatican Museums,1002,5,316,en,0.3333333333333333,positive,3
Vatican Museums,1002,5,317,en,0.3333333333333333,positive,4
Vatican Museums,1002,5,318,en,1.0,positive,4
Vatican Museums,1002,5,319,en,-0.3333333333333333,negative,4
Vatican Museums,1002,5,320,en,0.6,positive,4
Vatican Museums,1002,5,321,en,1.0,positive,4
Vatican Museums,1002,5,322,en,1.0,positive,4
Vatican Museums,1002,5,323,en,-0.5555555555555556,negative,4
Vatican Museums,1002,5,324,en,-0.1111111111111111,neutral,4
Vatican Museums,1002,5,325,en,1.0,positive,0
Vatican Museums,1002,5,326,en,0.5,positive,2
Vatican Museums,1002,5,327,en,0.3333333333333333,positive,4
Vatican Museums,1002,5,328,en,0.2,neutral,5
Vatican Museums,1002,5,329,en,0.0,neutral,4
Vatican Museums,1002,5,330,en,0.3333333333333333,positive,4
Vatican Museums,1002,5,331,en,0.5,positive,4
Vatican Museums,1002,5,332,en,-0.14285714285714285,neutral,2
Vatican Museums,1002,5,333,en,1.0,positive,3
Vatican Museums,1002,5,334,en,1.0,positive,0
Vatican Museums,1002,5,335,en,1.0,positive,3
Vatican Museums,1002,5,336,en,0.6,positive,4
Vatican Museums,1002,5,337,en,0.3333333333333333,positive,4
Vatican Museums,1002,5,338,en,0.0,neutral,4
Vatican Museums,1002,5,339,en,0.0,neutral,4
Vatican Museums,1002,5,340,en,0.09090909090909091,neutral,4
Vatican Museums,1002,5,341,en,-0.3333333333333333,negative,4
Vatican Museums,1002,5,342,en,1.0,positive,4
Vatican Museums,1002,5,343,en,1.0,positive,2
Vatican Museums,1002,5,344,en,-1.0,negative,4
Vatican Museums,1002,5,345,en,-0.14285714285714285,neutral,4
Vatican Museums,1002,5,346,en,0.3333333333333333,positive,4
Vatican Museums,1002,5,347,en,0.5,positive,3
Vatican Museums,1002,5,348,en,1.0,positive,4
Vatican Museums,1002,5,349,en,0.5,positive,4
Vatican Museums,1002,5,350,en,1.0,positive,2
Vatican Museums,1002,5,351,en,0.6,positive,4
Vatican Museums,1002,5,352,en,0.3333333333333333,positive,2
Vatican Museums,1002,5,353,en,1.0,positive,4
Vatican Museums,1002,5,354,en,1.0,positive,3
Vatican Museums,1002,5,355,en,1.0,positive,4
Vatican Museums,1002,5,356,en,0.0,neutral,4
Vatican Museums,1002,5,357,en,1.0,positive,4
Vatican Museums,1002,5,358,en,0.7142857142857143,positive,4
Vatican Museums,1002,5,359,en,1.0,positive,0
Vatican Museums,1002,5,360,en,0.6666666666666666,positive,3
Vatican Museums,1002,5,361,en,1.0,positive,4
Vatican Museums,1002,5,362,en,0.5,positive,4
Vatican Museums,1002,5,363,en,1.0,positive,4
Vatican Museums,1002,5,364,en,0.5555555555555556,positive,4
Vatican Museums,1002,5,365,en,0.42857142857142855,positive,4
Vatican Museums,1002,5,366,en,0.6,positive,3
Vatican Museums,1002,5,367,en,0.6,positive,4
